campaign,start,stop,ra,dec,comments
0,2014-03-08,2014-05-27,06:33:11.14,+21:35:16.40,"Near Galactic Anti-center, M35, NGC 2158"
1,2014-05-30,2014-08-21,11:35:45.51,+01:25:02.28,"North Galactic Cap"
2,2014-08-23,2014-11-13,16:24:30.34,-22:26:50.28,"Near Galactic Center, M4, M80, M19, Upr Sco, rho Oph"
3,2014-11-14,2015-02-06,22:26:39.68,-11:05:47.99,"South Galactic Cap, Neptune"
4,2015-02-07,2015-04-26,03:56:18.22,+18:39:38.09,"M45 (Pleiades), NGC1647, Hyades"
5,2015-04-27,2015-07-13,08:40:37.84,+16:49:46.61,"M44 (Beehive), M67"
6,2015-07-14,2015-10-03,13:39:27.61,-11:17:43.29,"North Galactic Cap"
7,2015-10-06,2015-12-29,19:11:18.84,-23:21:36.07,"Near Galactic Center, NGC 6717"
8,2016-01-03,2016-03-26,01:05:21.12,+05:15:44.45,"Uranus"
9,2016-04-07,2016-07-06,18:01:25.08,-21:46:47.32,"Galactic Center, Baades Window, M21, M18, M25, M8"
10,2016-07-06,2016-09-21,12:27:07.07,-04:01:37.8,"North Galactic cap"
11,2016-09-28,2016-12-20,17:19:53.12,-23:56:57.07,"Galactic Center"
12,2016-12-01,2017-03-01,23:19:12.83,-05:52:32.08,"South Galactic cap"
13,2017-03-01,2017-07-01,04:52:11.28,+20:48:50.06,"Hyades"